Term,Catalog,Grade Roster,Grade,Grd Pt/Unt,Unit Taken
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,B+,3.334,3
4239,MA131,FIN,B,3,4
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,F,0,3
4239,MA131,FIN,C,2,4
4239,MA131,FIN,F,0,3
4239,MA131,FIN,C-,1.667,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C-,1.667,4
4239,MA131,FIN,F,0,5
4239,MA131,FIN,F,0,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,W,0,4
4239,MA131,FIN,W,0,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,W,0,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B,3,5
4239,MA131,FIN,D,1,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,D,1,5
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,C-,1.667,5
4239,MA131,FIN,C,2,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,C,3,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,W,0,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,B,3,3
4239,MA131,FIN,B,3,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C,2,5
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,B,3,5
4239,MA131,FIN,F,0,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,A-,3.667,5
4239,MA131,FIN,A+,4,3
4239,MA131,FIN,F,0,4
4239,MA131,FIN,A,4,3
4239,MA131,FIN,C,2,3
4239,MA131,FIN,B,3,5
4239,MA131,FIN,D,1,4
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,LW,0,5
4239,MA131,FIN,F,0,5
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,F,0,5
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,C+,2.334,5
4239,MA131,FIN,B+,3.334,3
4239,MA131,FIN,F,0,4
4239,MA131,FIN,A,4,5
4239,MA131,FIN,C+,2.334,3
4239,MA131,FIN,A,4,4
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,B-,2.667,3
4239,MA131,FIN,A,4,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,C,2,3
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,D,1,5
4239,MA131,FIN,D,1,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,C+,2.334,5
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,F,0,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,C,2,5
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,B+,3.334,3
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,LW,0,5
4239,MA131,FIN,C,2,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,B,3,5
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C-,1.667,5
4239,MA131,FIN,B,3,4
4239,MA131,FIN,C-,1.667,5
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,A,4,3
4239,MA131,FIN,B,3,5
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,A,4,3
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B+,3.334,3
4239,MA131,FIN,B,3,4
4239,MA131,FIN,B,3,5
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,D,1,5
4239,MA131,FIN,A,4,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,D,1,5
4239,MA131,FIN,B,3,5
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C+,2.334,5
4239,MA131,FIN,B,3,3
4239,MA131,FIN,D,1,3
4239,MA131,FIN,C+,2.334,5
4239,MA131,FIN,B+,3.334,3
4239,MA131,FIN,A,4,3
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,A,4,3
4239,MA131,FIN,B,3,5
4239,MA131,FIN,C-,1.667,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,D,1,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,C,2,5
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,A,4,5
4239,MA131,FIN,A,4,3
4239,MA131,FIN,A,4,4
4239,MA131,FIN,C-,1.667,3
4239,MA131,FIN,A,4,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,C,2.334,4
4239,MA131,FIN,D,1,5
4239,MA131,FIN,B,3,3
4239,MA131,FIN,A+,4,3
4239,MA131,FIN,LW,0,3
4239,MA131,FIN,D,1,4
4239,MA131,FIN,W,0,3
4239,MA131,FIN,B-,2.667,5
4239,MA131,FIN,D,1,4
4239,MA131,FIN,C+,2.334,5
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,C-,1.667,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A,4,5
4239,MA131,FIN,B-,2.667,5
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,D,1,5
4239,MA131,FIN,C-,1.667,4
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,A,4,3
4239,MA131,FIN,F,0,3
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,LW,0,5
4239,MA131,FIN,C,2,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,B,3,5
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A+,4,3
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,A,4,3
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,C,2,5
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,F,0,5
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,D,1,5
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,C,2,4
4239,MA131,FIN,C-,1.667,4
4239,MA131,FIN,B-,2.667,5
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C,2,3
4239,MA131,FIN,A,4,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,A,4,3
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A-,3.667,5
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,B-,2.667,3
4239,MA131,FIN,F,0,5
4239,MA131,FIN,A,4,4
4239,MA131,FIN,B,3,5
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,B+,3.334,3
4239,MA131,FIN,D,1,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,B,3,3
4239,MA131,FIN,A,4,4
4239,MA131,FIN,B,3,3
4239,MA131,FIN,F,0,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,C+,2.334,5
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B,3,3
4239,MA131,FIN,D,1.667,3
4239,MA131,FIN,A,4,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A+,4,3
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,B,3,5
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,C+,2.334,5
4239,MA131,FIN,A,4,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,D,1,5
4239,MA131,FIN,B,3,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,B,3,3
4239,MA131,FIN,C+,2.334,3
4239,MA131,FIN,C,2,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,A-,3.667,5
4239,MA131,FIN,A+,4,3
4239,MA131,FIN,B,3,5
4239,MA131,FIN,W,0,4
4239,MA131,FIN,W,0,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,A-,3.667,3
4239,MA131,FIN,F,0,5
4239,MA131,FIN,C-,1.667,4
4239,MA131,FIN,F,0,3
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B+,3.334,3
4239,MA131,FIN,B,3,5
4239,MA131,FIN,C,2,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,C,2,5
4239,MA131,FIN,D,1,5
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,C,2,5
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,B,3,3
4239,MA131,FIN,A,4,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,D,1,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,C,2,5
4239,MA131,FIN,B+,3.334,5
4239,MA131,FIN,B,3,5
4239,MA131,FIN,C,2,5
4239,MA131,FIN,A,4,4
4239,MA131,FIN,C,2,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,C,2,5
4239,MA131,FIN,A,4,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A,4,3
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,B-,2.667,4
4239,MA131,FIN,C-,1.667,5
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,F,0,4
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,B,3,5
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,LW,0,5
4239,MA131,FIN,B,3,5
4239,MA131,FIN,B,3,5
4239,MA131,FIN,A,4,3
4239,MA131,FIN,LW,0,4
4239,MA131,FIN,B,3,3
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,B,3,4
4239,MA131,FIN,A+,4,3
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,B+,3.334,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,A,4,4
4239,MA131,FIN,A+,4,4
4239,MA131,FIN,A-,3.667,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A,4,5
4239,MA131,FIN,A+,4,5
4239,MA131,FIN,D,1.667,4
4239,MA131,FIN,C+,2.334,4
4239,MA131,FIN,A,4,4
